DataCode,RecType,ListID,AbName,CommonName,ScienceName,Comments
CFP01,1,1,CAMANO,Central Stoneroller,Campostoma anamolum,
CFP01,1,2,CATCOM,White Sucker,Catostomus commersoni,
CFP01,1,3,CRAY,Unidentified crayfish,,
CFP01,1,4,CYPLUT, Red Shiner,Cyprinella lutrensis,
CFP01,1,5,ETHNIG,Johnny Darter,Etheostoma nigrum,
CFP01,1,6,ETHSPE,Orangethroated Darter ,Etheostoma spectabile,
CFP01,1,7,GAMAFF,Western Mosquitofish ,Gambusia affinis,
CFP01,1,8,LEPCYA,Green Sunfish ,Lepomis cyanellus,
CFP01,1,9,LEPHUM,Orangespotted sunfish,Lepomis humilis,
CFP01,1,10,LEPMAC,Bluegill,Lepomis macrochirus,
CFP01,1,11,LEPMEG,Longear Sunfish,Lepomis megalotis,
CFP01,1,12,LUXCOR,Common Shiner,Luxilus cornutus,
CFP01,1,13,NOTEXI,Slender Madtom,Noturus exilis,
CFP01,1,14,NOTPER,Carmine shiner,Notropis percobromus,
CFP01,1,15,NOTSTR,Sand Shiner,Notropis stramineus,
CFP01,1,16,ORCNAI,Water nymph crayfish,Orconectes nais,
CFP01,1,17,ORCNEG,Ringed crayfish,Orconectes neglectus,
CFP01,1,18,PHEMIR,Suckermouth Minnows,Phenocobius mirabilis,
CFP01,1,19,CHRERY,Southern Redbelly Dace,Chrosomus erythrogaster,
CFP01,1,20,PIMNOT,Bluntnose Minnow,Pimephales notatus,
CFP01,1,21,PIMPRO,Fathead Minnow ,Pimephales promelas,
CFP01,1,22,SEMATR,Creek Chub,Semotilis atromaculatus,
CFP01,1,23,TADPOL,Unidentified tadpole,,
