ROWID,DATACODE,RECTYPE,RECYEAR,SEASON,WATERSHED/LINE,Pm,Rmeg,Sh,Bh,Rmon,St,Mo,Pl,Ch,Mm,Nf,Sc,Zh,Cp
,CSM01,1,2013,SP,004F-E,6,2,0,0,1,0,0,1,0,0,0,0,0,0
,CSM01,1,2013,SP,004F-W,3,8,0,0,0,0,0,2,0,0,0,0,0,0
,CSM01,1,2013,SP,004B-E,0,2,0,0,0,0,4,5,0,0,0,0,0,0
,CSM01,1,2013,SP,004B-W,0,2,0,0,0,0,1,10,0,0,0,0,0,0
,CSM01,1,2013,SP,001D-E,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,CSM01,1,2013,SP,001D-W,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,CSM01,1,2013,SP,020B-E,0,5,0,0,0,0,2,13,0,0,1,0,0,0
,CSM01,1,2013,SP,020B-W,0,0,2,0,0,0,0,52,0,0,0,0,0,0
,CSM01,1,2013,SP,N20B-N,10,0,0,0,0,0,0,1,0,0,0,0,0,0
,CSM01,1,2013,SP,N20B-S,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,CSM01,1,2013,SP,N01B-E,8,0,0,0,0,0,0,1,0,0,0,0,0,0
,CSM01,1,2013,SP,N01B-W,17,0,0,0,0,0,0,2,0,0,0,0,0,0
,CSM01,1,2013,SP,N04D-E,6,0,0,0,0,0,0,1,0,0,0,0,0,0
,CSM01,1,2013,SP,N04D-W,6,1,1,0,0,0,0,13,0,0,0,0,0,0
,CSM01,1,2012,AU,004F-E,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,CSM01,1,2012,AU,004F-W,0,3,0,0,0,0,1,2,0,0,0,0,0,0
,CSM01,1,2012,AU,004B-E,0,3,0,2,0,0,0,0,0,0,0,0,0,0
,CSM01,1,2012,AU,004B-W,0,6,4,1,0,0,0,6,0,0,0,1,0,0
,CSM01,1,2012,AU,001D-E,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,CSM01,1,2012,AU,001D-W,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,CSM01,1,2012,AU,020B-E,0,1,4,0,0,0,6,12,0,0,1,0,0,0
,CSM01,1,2012,AU,020B-W,0,3,3,0,0,0,0,26,0,0,1,0,0,0
,CSM01,1,2012,AU,N20B-N,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,CSM01,1,2012,AU,N20B-S,0,0,0,0,0,0,0,3,0,0,0,0,0,0
,CSM01,1,2012,AU,N01B-E,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,CSM01,1,2012,AU,N01B-W,9,0,0,0,0,0,1,2,0,0,0,0,0,0
,CSM01,1,2012,AU,N04D-E,4,2,0,1,0,0,0,0,0,0,0,0,0,0
,CSM01,1,2012,AU,N04D-W,1,0,0,0,0,0,0,5,0,0,3,0,0,0
,CSM01,1,2012,SP,004F-E,1,3,0,0,0,0,0,0,0,0,0,0,0,0
,CSM01,1,2012,SP,004F-W,0,5,0,0,0,0,3,0,0,0,0,0,0,0
,CSM01,1,2012,SP,004B-E,0,3,0,0,0,0,1,2,0,0,0,0,0,0
,CSM01,1,2012,SP,004B-W,0,0,0,0,0,0,0,4,0,0,0,0,0,0
,CSM01,1,2012,SP,001D-E,2,0,0,0,0,0,2,0,0,0,0,0,0,0
,CSM01,1,2012,SP,001D-W,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,CSM01,1,2012,SP,020B-E,0,2,0,0,0,0,2,8,0,0,0,0,0,0
,CSM01,1,2012,SP,020B-W,0,0,0,0,0,0,2,15,0,0,0,0,0,0
,CSM01,1,2012,SP,N20B-N,6,2,0,0,0,1,0,3,0,0,0,0,0,0
,CSM01,1,2012,SP,N20B-S,2,2,0,0,0,0,0,2,0,0,0,0,0,0
,CSM01,1,2012,SP,N01B-E,15,0,0,0,0,0,0,5,0,0,0,0,0,0
,CSM01,1,2012,SP,N01B-W,12,0,0,0,0,0,0,5,0,0,0,0,0,0
,CSM01,1,2012,SP,N04D-E,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,CSM01,1,2012,SP,N04D-W,1,1,0,0,0,0,0,1,0,0,0,0,0,0
,CSM01,1,2011,AU,004F-E,8,4,1,0,0,0,0,1,0,0,0,0,0,0
,CSM01,1,2011,AU,004F-W,1,4,4,1,0,0,6,2,0,0,0,0,0,0
,CSM01,1,2011,AU,004B-E,1,3,0,4,0,0,0,2,0,0,0,0,0,0
,CSM01,1,2011,AU,004B-W,0,2,0,9,0,0,0,2,0,0,0,1,0,0
,CSM01,1,2011,AU,001D-E,9,0,1,3,0,0,0,0,0,0,0,0,0,0
,CSM01,1,2011,AU,001D-W,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,CSM01,1,2011,AU,020B-E,0,1,0,1,0,0,2,32,0,0,0,0,0,0
,CSM01,1,2011,AU,020B-W,0,1,0,0,0,0,2,50,0,0,0,0,0,0
,CSM01,1,2011,AU,N20B-N,0,1,0,0,0,0,0,3,1,0,0,0,0,0
,CSM01,1,2011,AU,N20B-S,0,1,0,0,0,0,0,6,1,0,0,0,0,0
,CSM01,1,2011,AU,N01B-E,12,0,0,0,0,0,0,7,2,0,0,0,0,0
,CSM01,1,2011,AU,N01B-W,11,0,0,1,0,0,0,8,0,0,0,0,0,0
,CSM01,1,2011,AU,N04D-E,9,0,0,0,0,0,0,3,0,0,0,0,0,0
,CSM01,1,2011,AU,N04D-W,2,0,0,1,0,0,0,4,0,0,2,0,0,0
1,CSM01,1,1981,AU,004F-E,13,7,2,6,0,1,0,1,0,0,0,0,0,0
2,CSM01,1,1981,AU,004F-W,17,8,2,2,3,0,0,12,0,0,0,0,0,0
3,CSM01,1,1981,AU,004B-E,8,2,0,0,0,0,0,0,0,0,0,0,0,0
4,CSM01,1,1981,AU,004B-W,2,5,0,2,0,0,0,4,0,0,0,0,0,0
5,CSM01,1,1981,AU,001D-E,9,3,0,3,0,1,0,0,0,0,0,0,0,0
6,CSM01,1,1981,AU,001D-W,4,2,0,1,1,0,1,0,0,0,0,0,0,0
7,CSM01,1,1981,AU,020B-E,0,18,0,2,1,0,0,0,0,0,0,0,0,0
8,CSM01,1,1981,AU,020B-W,1,7,0,6,0,0,0,0,0,0,0,0,0,0
9,CSM01,1,1981,AU,N01B-E,6,1,0,6,0,1,2,0,1,0,0,0,0,0
10,CSM01,1,1981,AU,N01B-W,6,2,0,8,0,0,0,0,0,0,0,0,0,0
11,CSM01,1,1981,AU,N04D-E,5,1,0,1,0,0,1,0,0,0,0,0,0,0
12,CSM01,1,1981,AU,N04D-W,2,7,0,1,1,0,3,1,0,1,0,0,0,0
13,CSM01,1,1982,AU,004F-E,7,7,1,1,0,0,5,1,0,0,0,0,0,0
14,CSM01,1,1982,AU,004F-W,2,8,0,3,0,0,2,6,0,0,0,0,0,2
15,CSM01,1,1982,AU,004B-E,8,4,0,5,0,0,3,0,1,0,0,0,0,0
16,CSM01,1,1982,AU,004B-W,4,9,1,5,0,0,0,2,0,0,0,1,0,0
17,CSM01,1,1982,AU,001D-E,7,0,0,3,0,1,10,1,0,0,0,0,0,0
18,CSM01,1,1982,AU,001D-W,11,0,0,3,0,0,3,0,0,0,0,1,0,0
19,CSM01,1,1982,AU,020B-E,1,6,0,12,0,0,0,0,0,0,0,2,0,0
20,CSM01,1,1982,AU,020B-W,0,6,0,6,0,0,1,0,0,0,0,0,0,0
21,CSM01,1,1982,AU,N20B-N,8,5,0,4,0,2,3,0,0,0,0,0,0,0
22,CSM01,1,1982,AU,N20B-S,3,1,0,6,0,0,10,0,0,0,0,0,0,0
23,CSM01,1,1982,AU,N01B-E,3,8,0,4,2,1,7,2,0,1,0,2,0,0
24,CSM01,1,1982,AU,N01B-W,3,12,0,6,0,1,2,2,0,0,0,0,0,0
25,CSM01,1,1982,AU,N04D-E,2,9,0,4,0,0,1,1,0,0,0,0,0,0
