DATACODE,RECTYPE,RECYEAR,SEASON,WATERSHED/LINE,Pm,Rmeg,Sh,Bh,Rmon,St,Mo,Pl,Ch,Mm,Nf,Sc,Zh,Cp
CSM04,1,1994,AU,FA-A,2,0,0,0,0,0,2,6,0,0,0,0,0,0
CSM04,1,1994,AU,FB-B,3,0,0,1,0,1,0,1,0,0,0,0,0,0
CSM04,1,1994,AU,SpB-A,4,17,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1994,AU,SpB-B,2,10,0,0,0,0,0,3,0,0,0,0,0,0
CSM04,1,1994,AU,SuB-A,3,0,2,0,0,0,0,3,0,0,0,0,0,0
CSM04,1,1994,AU,SuB-B,4,0,0,0,0,0,0,2,0,0,0,0,0,0
CSM04,1,1994,AU,WA-A,1,1,0,0,0,1,0,1,0,0,0,0,0,0
CSM04,1,1994,AU,WB-B,1,4,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1995,AU,FA-A,0,1,0,1,0,0,0,3,0,0,0,0,0,0
CSM04,1,1995,AU,FB-B,6,1,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1995,AU,SpB-A,12,3,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1995,AU,SpB-B,15,4,0,4,0,0,0,3,0,1,0,0,0,0
CSM04,1,1995,AU,SuB-A,1,0,0,2,0,0,0,3,0,0,0,0,0,0
CSM04,1,1995,AU,SuB-B,8,0,0,3,0,0,0,0,0,0,0,0,0,0
CSM04,1,1995,AU,WA-A,8,1,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1995,AU,WB-B,6,2,0,11,0,0,1,0,0,0,0,0,0,0
CSM04,1,1995,SP,FA-A,11,0,0,0,0,0,0,2,0,0,0,0,0,0
CSM04,1,1995,SP,FB-B,17,0,0,0,0,1,1,2,0,0,0,0,0,0
CSM04,1,1995,SP,SpB-A,5,2,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1995,SP,SpB-B,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1995,SP,SuB-A,10,2,0,0,0,0,0,4,0,0,0,0,0,0
CSM04,1,1995,SP,SuB-B,12,0,0,0,0,0,0,4,0,0,0,0,0,0
CSM04,1,1995,SP,WA-A,12,0,0,0,0,1,0,0,0,0,0,0,0,0
CSM04,1,1995,SP,WB-B,11,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1996,AU,FA-A,11,0,0,0,0,0,0,1,0,0,0,0,0,0
CSM04,1,1996,AU,FB-B,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1996,AU,SpB-A,6,4,0,0,0,0,0,1,0,0,0,0,0,0
CSM04,1,1996,AU,SpB-B,5,2,0,2,0,1,1,4,0,0,0,0,0,0
CSM04,1,1996,AU,SuB-A,4,0,0,0,0,0,0,3,0,0,0,0,0,0
CSM04,1,1996,AU,SuB-B,7,0,0,0,0,1,0,0,1,0,0,0,0,0
CSM04,1,1996,AU,WA-A,4,1,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1996,AU,WB-B,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1996,SP,FA-A,4,0,0,0,0,0,0,2,0,0,0,0,0,0
CSM04,1,1996,SP,FB-B,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1996,SP,SpB-A,4,2,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1996,SP,SpB-B,2,0,0,0,0,0,0,1,0,0,0,0,0,0
CSM04,1,1996,SP,SuB-A,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1996,SP,SuB-B,6,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1996,SP,WA-A,3,1,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1996,SP,WB-B,4,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1997,AU,FA-A,5,0,0,0,0,0,0,2,0,0,0,0,0,0
CSM04,1,1997,AU,FB-B,1,0,1,0,0,0,0,2,0,0,0,0,0,0
CSM04,1,1997,AU,SpB-A,9,0,1,2,0,0,0,5,0,0,0,0,0,0
CSM04,1,1997,AU,SpB-B,3,0,0,1,0,0,0,5,0,0,0,0,0,0
CSM04,1,1997,AU,SuB-A,4,0,0,0,0,0,0,4,0,0,0,0,0,0
CSM04,1,1997,AU,SuB-B,7,2,0,1,0,0,1,5,0,0,0,0,0,0
CSM04,1,1997,AU,WA-A,4,0,2,0,0,0,2,0,0,0,0,0,0,0
CSM04,1,1997,AU,WB-B,4,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1997,SP,FA-A,7,0,0,0,0,0,0,3,0,0,0,0,0,0
CSM04,1,1997,SP,FB-B,7,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1997,SP,SpB-A,1,3,0,0,0,0,0,2,0,0,0,0,0,0
CSM04,1,1997,SP,SpB-B,4,1,0,0,0,0,0,2,0,0,0,0,0,0
CSM04,1,1997,SP,SuB-A,3,0,0,0,0,0,0,2,0,0,0,0,0,0
CSM04,1,1997,SP,SuB-B,6,0,0,0,0,0,0,2,0,0,0,0,0,0
CSM04,1,1997,SP,WA-A,8,0,0,0,0,0,0,3,0,0,0,0,0,0
CSM04,1,1997,SP,WB-B,12,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1998,AU,FA-A,5,0,0,1,0,0,1,3,0,1,0,0,0,0
CSM04,1,1998,AU,FB-B,5,0,2,4,0,0,3,2,0,0,0,0,0,0
CSM04,1,1998,AU,SpB-A,6,0,2,1,0,0,0,3,0,0,0,0,0,0
CSM04,1,1998,AU,SpB-B,5,0,0,0,0,0,1,11,0,0,0,0,0,0
CSM04,1,1998,AU,SuB-A,5,0,1,1,0,0,0,4,0,0,0,0,0,0
CSM04,1,1998,AU,SuB-B,8,2,0,1,0,0,0,5,0,0,0,0,0,0
CSM04,1,1998,AU,WA-A,7,0,0,2,0,0,0,2,0,0,0,0,0,0
CSM04,1,1998,AU,WB-B,11,1,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,1998,SP,FA-A,15,0,0,0,0,0,0,8,0,0,0,0,0,0
CSM04,1,1998,SP,FB-B,24,0,0,0,0,0,0,11,0,0,0,0,0,0
CSM04,1,1998,SP,SpB-A,2,0,0,0,0,0,0,3,0,0,0,0,0,0
CSM04,1,1998,SP,SpB-B,1,1,0,0,0,0,7,3,0,0,0,0,0,0
CSM04,1,1998,SP,SuB-A,7,1,0,0,0,0,0,4,0,0,0,0,0,0
CSM04,1,1998,SP,SuB-B,4,1,1,0,0,0,2,4,0,0,0,0,0,0
CSM04,1,1998,SP,WA-A,21,0,0,0,0,0,0,4,0,0,0,0,0,0
CSM04,1,1998,SP,WB-B,16,0,0,0,0,0,0,6,0,0,0,0,0,0
CSM04,1,1999,AU,FA-A,3,0,0,2,0,0,0,0,0,0,0,0,0,0
CSM04,1,1999,AU,FB-B,2,11,10,1,0,0,0,1,0,0,0,0,0,0
CSM04,1,1999,AU,SpB-A,4,1,1,1,0,0,0,1,1,0,0,0,0,0
CSM04,1,1999,AU,SpB-B,5,11,3,2,0,1,0,5,0,0,0,0,0,0
CSM04,1,1999,AU,SuB-A,5,3,0,0,0,0,0,5,0,0,0,0,0,0
CSM04,1,1999,AU,SuB-B,8,4,0,0,0,0,0,1,0,0,0,0,0,0
CSM04,1,1999,AU,WA-A,3,2,9,4,0,0,0,2,0,0,0,0,0,0
CSM04,1,1999,AU,WB-B,3,8,4,4,0,0,0,0,0,0,0,0,0,0
CSM04,1,1999,SP,FA-A,9,0,0,0,0,0,0,2,0,0,0,0,0,0
CSM04,1,1999,SP,FB-B,13,0,0,0,0,0,0,7,0,0,0,0,0,0
CSM04,1,1999,SP,SpB-A,6,12,0,0,0,0,0,0,0,0,0,0,0,0
